B: 	oké 
B: 	liggen eraan hoe je kijken 
B: 	ja oké 
B: 	ik denken het ook want de rest lijken er niet echt op 
A: 	oké 
A: 	nee kloppen hij zijn wel uniek 
B: 	nee 
B: 	oké 
B: 	ja 
A: 	dat zijn die balk eigenlijk gewoon hè ? die balk zijn het enig 
B: 	ja die balk hebben volgens mij hebben de ander geen ja dit moeten hem wel zijn 
A: 	nee oké 
A: 	nummer achten dus 
B: 	oké 
B: 	oké 
B: 	die staan bij mij in het midden 
A: 	ja 
B: 	en als je dan dat kruis trekken dan staan die bij mij linksboven zeggen maar in de hoek van het van het kruis 
A: 	ja mee eens 
B: 	dus in het linksbovenste kwart en dan in het hoek 
A: 	ja ja 
B: 	ja 
A: 	oké 
A: 	dan staan die op dezelfde plek 
A: 	geel 
A: 	ja ik hebben die die die balk op het hoofd 
B: 	ja 
B: 	met die met dat raar trechter zo aan de voorkant soort van 
A: 	ja ja 
B: 	ja oké dat zijn E 
A: 	en dan staan die rechtsonder 
A: 	eigenlijk wel gewoon tegen de punt aan bijna 
B: 	oké bij mij staan die rechtsboven dus dat kunnen al niet 
B: 	hij zitten echt wel boven het midden 
B: 	oké dit zijn met die vierkant hanenkam zeggen maar 
A: 	ja 
B: 	met dat blok er dan die balk erop 
A: 	ja 
A: 	ja 
B: 	ja 
A: 	en en heel raar ja 
B: 	ja dat dat soort trechterstaafje ding 
A: 	vierkant hanenkam noemen we hem ja 
A: 	dat zijn nummer één 
B: 	die staan best wel bovenaan 
B: 	net links van het midden 
B: 	en dan 
A: 	ja hij hij raken bij mij echt wel die middellijn aan zeggen maar 
B: 	ja als je zeggen maar de verticaal lijn dan dan raken die hem wel 
A: 	ja 
A: 	ja 
B: 	en dan staan die zo net aan de linkerkant 
A: 	ja 
B: 	en daarboven kunnen eigenlijk nog maar een half of zo misschien 
A: 	knap weinig 
A: 	nee ja oké nog niet eens bijna 
B: 	oké 
A: 	ja 
B: 	ja 
A: 	dus dan staan die goed 
B: 	denken het wel 
A: 	met de met de balk als Hanenkamp 
B: 	ja 
B: 	ja 
B: 	hier 
B: 	dat zijn E 
A: 	hij staan linksonder 
A: 	vrijwel eigenlijk ja hij hij zijn bijna tegen ja hij hij neigen naar boven zeggen maar 
B: 	staan die boven dat piramidemannetje 
A: 	ja hij staan boven de 
B: 	ja 
A: 	nee nee nee 
B: 	ja maar die zijn bij jou omgedraaien dus dan kloppen het wel want als ik die van mij omwisselen met dat zonnepaneel dan staan die daarboven 
A: 	oké dan kloppen dat inderdaad 
B: 	ja oké 
A: 	en dan staan die naast het zonnepaneel zeggen maar 
B: 	ja 
A: 	ja oké 
B: 	ja 
B: 	dit zijn die met die ja vierkant balk hanenkam op zijn hoofd 
A: 	wat een beschrijving ja 
A: 	ja nummer zestien 
B: 	en die staan bij mij weer onder die neuspiercing en die vogel 
B: 	zeggen maar hebben je zo die neuspiercing en dan de vogel en dan die 
A: 	neuspiercing vogel ja 
A: 	ja dan hebben ik hetzelfde 
A: 	kloppen dan wel 
A: 	ik hebben de de de rechthoekig hanenkam 
B: 	ja 
B: 	even kijken waar die zijn 
B: 	dat zijn bij mij O 
A: 	dan staan die ja helemaal linksonder bij mij 
B: 	ja bij mij ook 
A: 	dus daar kunnen kunnen net een blok link naast misschien 
A: 	ja 
B: 	ja als je een smal hebben zeggen maar 
A: 	ja 
B: 	ja 
