A: 	jij zijn 
A: 	twee cilinder op en er voortkomen één cilinder uit met een slurf van een olifant 
B: 	ja en er gaan ook een plaat doorheen 
A: 	ja gaan ook een plaat doorheen 
B: 	ja 
B: 	dat zijn nummer C 
A: 	en de hij liggen in het rechtervak 
A: 	bovenaan 
A: 	in de hoek 
A: 	maar niet in de hoek dus hij hij zijn nog hij liggen nog twee keer van de hoek af of tenminste anderhalf keer van de hoek af 
B: 	anderhalf keer bij mij zullen die nog wel twee keer naast passen 
A: 	ongeveer 
A: 	en hij staat nog niet hij hij kunnen niet veel naar boven 
B: 	denken niet 
B: 	nee nou hij zullen bij mij maar hebben die hoog kunnen 
B: 	hebben je ze hoog zien dan dit 
A: 	nee hij zijn hij zitten echt precies bijna tegen het scherm aan 
B: 	oké dan denken ik niet dat 
A: 	er zitten gewoon maar een streep wit tussen 
B: 	ja 
B: 	dan denken ik niet dat we hetzelfde hebben 
A: 	oké 
B: 	er gaan een plaat dwars doorheen 
A: 	oké welk zijn dat ? daar hebben ik maar één van 
A: 	waar zijn die ? zijn het zijn het met de slurf 
B: 	en hij 
B: 	ja 
A: 	oké 
A: 	dat zijn dertien 
B: 	hij zitten helemaal Linksboven 
A: 	in de hoek 
B: 	ja 
B: 	alleen denken ik er zitten nog wel wat hij hebben nog wel wat hij past er niet veel tussen maar hij hebben nog wel wat naar de zijkant verschoven kunnen worden 
A: 	maar hij kunnen alleen nog 
B: 	ik schat dat er zo'n vier centimeter tussen zitten aan de linkerkant 
A: 	kunnen die nog wel naar boven 
B: 	hij kunnen als vanaf de rood lijn zien 
A: 	ja 
B: 	kunnen die nog drie centimeter naar boven 
A: 	dat zijn niet veel nee 
B: 	en aan de linkerkant vier 
A: 	nee dat kloppen niet bij mij 
A: 	zijn wel goed 
A: 	en zo'n slurf er zitten een slurf aan de voorkant 
A: 	en daar gaan een plaat doorheen 
B: 	oké dat zijn J 
A: 	hij zitten aan de rechterkant in het midden 
A: 	en hij kunnen niet veel naar beneden 
B: 	zitten die in het midden van de rechterkant of 
A: 	ja in het midden van de rechterkant 
B: 	oké want bij mij zitten die echt tegen de middellijn aan 
A: 	ja bij mij ook ja 
B: 	dus dat zijn niet het midden van de rechterkant 
A: 	en hij 
B: 	je hebben 
A: 	midden en dan tegen de middellijn 
B: 	je hebben je hebben ja oké ja je hebben ik denken met de rechterkant heel vaak oké je hebben de rechterkant van het scherm en daar het midden van 
A: 	ja 
A: 	ja ik ook 
B: 	maar 
B: 	oké maar het zijn niet je hebben de rechterkant daar het midden van 
A: 	ja 
B: 	maar hij zitten bij mij echt dit zijn de rechterkant maar tegen het midden aan 
A: 	ja 
A: 	oké 
A: 	tegen het midden aan 
B: 	ja 
A: 	en kunnen je naar beneden 
B: 	half keer misschien 
A: 	half keer misschien 
A: 	oké 
B: 	denken je dat ik hem op dezelfde plek hebben 
A: 	ja ik ik denken het eigenlijk wel want nu hebben jij jou midden uitleggen ik bedoelen 
B: 	ja het maken eigenlijk niet uit wie uitleggen waar die zitten want we moeten er al twee uit nou ja 
A: 	ja dat zijn waar 
B: 	nou ja dat 
A: 	ja ik ik weten gewoon wel dat hij aan de rechterkant wel zitten in het midden 
B: 	ja ja oké 
A: 	ja en dan hij kunnen niet veel naar beneden 
B: 	maar maar wel vrij in het midden van het scherm 
A: 	ja vrij in het midden van het scherm 
B: 	hij kunnen niet echt veel naar beneden 
A: 	niet echt veel naar beneden nee 
B: 	maar ze zijn wel laag zijn 
A: 	misschien net iets laag maar niet veel laag 
B: 	ja oké 
A: 	en 
B: 	even kijken het zijn die met de slurf waar de plaat doorheen gaan 
A: 	de slurf waar de plaat doorheen gaan waar zijn de slurf ? slurf slurf 
A: 	ah ik zien hem 
A: 	dat zijn negen 
B: 	hij staan aan de rechterkant van het scherm 
A: 	ja 
B: 	hij staan op de middellijn 
B: 	misschien iets hoog 
A: 	hoog 
B: 	iets hoog dan dat die op de middellijn staan 
A: 	niet laag 
B: 	laag dan de middellijn 
A: 	bij mij staan die laag 
A: 	niet omhoog 
A: 	nee bij mij laag 
B: 	aan de rechterkant 
A: 	hij staan bij mij 
A: 	ja rechtsonder bij mij staan die 
B: 	nou hij zijn bij mij rechtsboven 
A: 	oké 
A: 	slurf aan de voorkant gaan een plaat doorheen 
B: 	ja 
B: 	dat zijn N 
A: 	ja 
A: 	en hij zitten in het bij de middellijn rechts 
A: 	tegen richting de middellijn dus 
B: 	ja 
B: 	en hij zitten wat hoog 
A: 	ja hij worden hoog kunnen niet veel naar hij kunnen niet veel omhoog 
B: 	misschien een half keer 
A: 	wat 
B: 	half keer misschien 
A: 	nee helemaal niet naar omhoog veel 
A: 	ja misschien ja misschien wel een half keer maar je zullen het op het scherm je zullen het niet veel zien eigenlijk 
B: 	zitten er 
B: 	ja ja 
B: 	dat zijn goed 
A: 	ik hebben honger mijn god 
