B: 	oké ik hebben een rood vierkant 
A: 	ja nee met die raar soort van standaard volgens mij zijn het de allereer die we hebben 
A: 	met een soort van ovaal standaard waar die op staat 
B: 	ja 
B: 	ja dat zijn inderdaad poppe waarvan ik denken dat die zijn ophangen met zo'n aan de ander kant van het van het lepel nog zo'n ja 
A: 	ja ja ja die komen eruit dat zijn een soort van Pinokkioneus 
B: 	ja 
A: 	en in ja aan de linkerkant maar wel wat veel in het midden zeggen maar zitten een soort dat dat dat dat rond zeggen maar 
B: 	rond 
B: 	ja oké nee hebbes 
B: 	dat zijn O 
A: 	O ja 
A: 	ja diegene die jij dus hebben ik noemen hem Pinokkioneus 
B: 	ja 
A: 	die zitten bij mij rechtsboven het rechtsbovenkwadrant 
B: 	nee bij mij zitten die onder 
A: 	maar heel dicht in het midden wel 
B: 	nee hij zitten bij mij onder 
A: 	nee anders dan 
B: 	ik moeten drukken 
A: 	ja moeten jij 
B: 	dit zijn de die een met dat rond en dat dat lepel 
B: 	ik ik weten nooit hoe jij hem noemen maar ik willen hem ophangen 
A: 	ja die Pinokkio 
B: 	met dat hij staan ergens op 
A: 	met die Pinokkio Pinokkioneus 
B: 	ja die 
A: 	ja waar die ergens op staat inderdaad 
B: 	ja 
B: 	ja 
A: 	ja dat zijn bij mij acht 
B: 	hij staan bij mij in het rechtsbovenkwadrant 
A: 	ja 
B: 	en dan er kunnen er nog een half boven en een heel rechts 
A: 	ja ja zelfde plek 
A: 	dit zijn de Pinokkioneus 
A: 	met die lepel die in zijn hoofd staan zeggen maar 
A: 	met dat koekje wat over het glas heen hing 
B: 	ja 
B: 	C 
A: 	rechtsbovenkwadrant 
A: 	en dan ongeveer net iets veel linksboven van het midden 
B: 	net iets veel link boven het midden 
A: 	Linksboven van het midden 
A: 	van het kwadrant 
B: 	kunnen er bij nou bij mij zitten die wel redelijk tegen de middellijn aan maar er kunnen er wel nog één boven ongeveer 
A: 	er zullen er bij mij nog links zullen er nog één van kunnen 
A: 	en rechts zullen er denken ik nog twee of misschien twee en een half kunnen 
B: 	nee links kunnen er 
B: 	nee links hij zitten echt tegen de lijn aan 
B: 	dit zijn do ik vergeet de heel tijd hoe je deze noemen 
A: 	de gieter 
B: 	nee 
A: 	of de pomp met het ei erop zeggen maar 
B: 	nee die met dat lepel eruit en dat rond en die een staaf 
B: 	en dat waar die op die staan ergens op 
A: 	ja met die drie kraal zeggen maar 
B: 	nee nee nee die met dat half rond op zijn komen erbovenuit en aan de ander kant zitten dan een lepeltje 
A: 	de Pinokkio 
B: 	ja die 
A: 	de Pinokkio ja nummer zeven 
B: 	hij staan bij mij in het linksonderkwadrant 
A: 	ja 
B: 	ja ongeveer in het midden 
A: 	bijna helemaal onder in de hoek 
B: 	nee hij kunnen er er kunnen er nog één onder en hij staat ongeveer in het midden 
A: 	nee nee nee bij mij niet 
A: 	nee 
A: 	de de Pinokkio bij mij met die lepel die erin staan en dat koekje wat over het glas heen afhangen 
B: 	ja 
B: 	C 
A: 	rechtsbovenkwadrant 
A: 	bijna helemaal ja eigenlijk zowat tegen de bovenkant aan 
B: 	nee nee nee nee nee nee nee nee 
