B: 	dit zijn een mok met een zweven ei Erboven het ei wat er of aan de voorkant staan iets veel naar rechts 
B: 	er zitten twee figuurt in een lineaal en die heel gek lepel en er opsteken aan de linkerkant nog een dinge uit 
A: 	ja 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	en die zitten bij mij in het linkervlak 
B: 	en dan in het linkerbovenste vlak 
B: 	en dan zitten die een beetje linksonder maar zitten nog wel zo'n stuk van de rand af 
A: 	bij mij zitten die in het linksbovenvlak wel echt ook Linksboven 
B: 	nee nee nee hij zitten echt niet Linksboven 
A: 	nee oké 
A: 	nou dan zijn het niet dezelfde plek 
B: 	nee 
B: 	nee hij staan bij mij echt linksonder 
A: 	oké 
A: 	deze zijn met dat ei wat ervoor zweeven en met dat lineaal wat eruit komen en dat ander raar figuur en dan nog zo'n balk er zo 
B: 	dinge 
B: 	dat zijn bij mij G 
A: 	en hij zitten bij mij aan de links kant van de verticaal lijn 
B: 	verticaal 
A: 	maar wel bijna ertegenaan 
B: 	ja 
A: 	en ook ook de horizontaal lijn raken die bijna daar zitten die net iets onder net iets onder het midden 
B: 	ja 
B: 	maar je hebben veel veel over aan de of bij de horizontaal lijn dan bij de verticaal lijn 
A: 	ja 
B: 	ja oké ja zelfde plek 
B: 	dit zijn die met zweven zweven ei de lineaal de gek lepel en het klein armp aan de linkerkant 
A: 	ja 
A: 	dat zijn nummer vijf 
B: 	die zitten bij jou dan denken ik op dezelfde lijn als Pippi Langkous 
A: 	ja ja 
B: 	net iets Erboven misschien 
B: 	ja 
B: 	ik zijn hem gewoon op jou ding aan het beschrijven dit zijn heel leuk 
A: 	wow ja 
B: 	want dan weten ik waar jou saladebak zitten en waar jou ding zitten 
A: 	ja helemaal rechts zitten dit figuur 
B: 	ja 
A: 	bijna helemaal rechts 
B: 	nee 
B: 	nee 
A: 	nee 
B: 	nee nee nee bij mij zitten er rechts nog daar zitten de waterglijbaan 
A: 	ja maar die zitten een stuk ver naar onder 
B: 	nee 
B: 	nee 
B: 	nee dan zijn het niet 
A: 	oké 
A: 	dus opnieuw welk vlak zitten die ? 
B: 	rechtsbof 
A: 	rechtsboven ja 
B: 	rechtsboven en dan richting het kruisje 
A: 	nee 
A: 	met kruisje bedoelen jij het midden van het van het heel scherm 
B: 	midden van het van het heel scherm ja 
A: 	nee 
A: 	nee 
B: 	nee dan weten ik waar die bij jou staan oké 
B: 	het voelen bijna als een soort hoe heten dat spel 
B: 	dat je dan elkaar coördinaten moeten gaan raden dat je 
A: 	ja met die schip 
B: 	met die schip ja ik weten even niet hoe dat heten maar ik het voelen bijna alsof we dat aan het doen zijn 
A: 	ja 
A: 	ik ook niet 
A: 	ja 
A: 	deze zijn met dat ei aan de voorkant lineaal Erbovenin en nog zo'n ander raar ding Erbovenin en zo'n armp aan de links kant 
B: 	ja met die heel gek lepel ook 
A: 	ja 
B: 	ja dat zijn bij mij J 
A: 	staan rechts in het vlak rechts bovenin 
A: 	hij zijn net iets boven de horizontaal lijn 
A: 	en een stuk rechts van de verticaal lijn 
B: 	staan Pippi Langkous link daarvan 
A: 	ja en wel echt een stuk ver naar links 
B: 	nee bij mij zitten zitten er echt zo'n stuk tussen 
A: 	nee bij mij niet 
A: 	bij mij zijn net rechtsonder daarvan staan dat dienblad met dat of nee dat tafel met dat saladebakje 
B: 	die staan rechtsonder 
B: 	oké dan zitten ik denken ik hebben ik die rechtsonder bij jou dus nee dan zijn dat niet dezelfde plek 
A: 	oké 
