A: 	ja dit zijn bij mij ja ik hebben het omschrijven als een als een soort boei of zo 
B: 	dus zeggen maar als je het scherm zo hebben dan hebben je dan staan die hier in het midden onderin 
A: 	ja 
B: 	en dan bij jou dus zullen zullen die daar onderin moeten staan 
A: 	ja hij staan hieronder maar er staan ver niks veel naast link 
B: 	en dan staan aan de aan de linkerkant staan er nog wel één plaat naast 
A: 	even kijken 
B: 	vanuit mij zien linkerkant 
B: 	dus van aan dan zullen die daar zullen nog iets naast moeten staan 
A: 	er 
A: 	aan de aan de kant van het uiteinde van het scherm staan er nog één naast 
B: 	ja 
B: 	ja 
A: 	ja dat hebben ik niet 
B: 	nou dan zullen die dan staan die anders 
A: 	ja maar even kijken staan die figuur dan op de op de misschien staan het figuur wel op de goed plek alleen staan er gewoon nog iets naast bij jou 
B: 	dat zullen ook nog kunnen 
A: 	ja 
B: 	want hij staan zeggen maar zo en dan op dit dit dit scherm dus voor jou aan deze kant 
A: 	ja 
B: 	daar wel weer in het midden onderin 
A: 	ja 
A: 	ja dat hebben ik ook 
A: 	eigenlijk wel 
B: 	maar staan er bij jou 
A: 	hij staan niet helemaal onderin 
A: 	hij staan klein stuk nog naar 
B: 	ja ja volgens mij zijn dat wel de veel laag rij dat die kunnen 
A: 	ja dat wel 
B: 	maar ik hebben hem ik hebben hem zo'n stuk van het scherm af 
B: 	van vanaf de van de rand van het scherm 
A: 	ja dat hebben ik ook 
B: 	houden eens tegen elkaar aan 
A: 	ja ik denken dat het ongeveer wel hetzelfde zijn 
B: 	ja 
B: 	nou dan zullen die op dezelfde plek staan 
A: 	dan staan die denken ik op dezelfde plek 
A: 	ja dit zijn die zeshoekig staaf met die twee rond op de zijkant en dat plaat achter 
B: 	ja 
B: 	L 
A: 	L en die staan dan ja als je zo'n kruis maken weer 
A: 	dan zeggen maar vanuit dat kruis echt gewoon rechts naar rechts beneden daarvan 
A: 	hij staan 
B: 	nee ik hebben hem echt ik hebben hem echt zo'n ik hebben hem zo'n stuk van de rand af staan 
A: 	nee nee nee nee zo zijn het niet 
B: 	nee een ander plek 
A: 	nee 
B: 	dit zijn de de staaf met de met de bal aan de zijkant 
A: 	de staaf met de 
A: 	klinken ook zo lekker 
B: 	ja het zijn wel duidelijk 
A: 	waar staan die 
A: 	hij zijn daar 
A: 	vijf 
B: 	die staan in het midden en dan daar het onderste plaat van 
A: 	ik hebben hem zo'n stuk van de onderkant staan zo 
B: 	ja ik ook 
B: 	ja 
A: 	ja 
B: 	dan staan daar aan de aan de rechterkant van het midden vaststaan ook nog een plaat bij mij 
A: 	ja 
B: 	maar echt helemaal in het als je helemaal in het midden kijken dan staan die daar 
A: 	ja precies 
B: 	nou dat zullen wel dezelfde plek zijn 
A: 	ongeveer ja als je die hij staan bij mij boven de B boven de B en de E van de BenQ 
B: 	ja 
B: 	ja ja precies ja dat hebben ik ook 
A: 	ja zoiets 
B: 	zelfde plek 
A: 	ja 
