A: 	deze hebben een soort sprie aan de achtekrant die naar achter wijzen 
A: 	dus ja zeggen zeggen dat er ongeveer een hand breedte nog er rechts ruimte zijn voor de rand van het scherm 
B: 	ja bij mij zijn dat wel weinig 
A: 	ja ? ok dan zitten hij er dan zitten hij waarschijnlijk op een ander plek 
B: 	en als we nou 
B: 	als je nou zeggen driekwart 
B: 	zitten hij daar op 
A: 	vanaf het midden zien 
B: 	ja dus dan hebben dit een kwart half driekwart 
A: 	nee dan zitten hij denken ik half vanaf het midden zien nu zeggen maar zo dan zitten hij precies op de helft 
B: 	ja bij mij zitten hij iets veel naar rechts 
A: 	ok nou dan zitten hij niet op dezelfde plek 
B: 	dus dan moeten ik rood doen 
A: 	ja 
B: 	ok 
B: 	dit zijn met die doorboren neus en een lepeltje sprie kuifje 
A: 	ja 
A: 	ja dat zijn vijf 
B: 	en hij zitten in het linksboven vlak en dan veel rechtsonder 
A: 	ja 
B: 	maar eigenlijk zijn hij al een beetje weer terugschoven naar het midden 
A: 	ja bij mij zitten hij dus wel in het linkerboven vak maar ik denken dat hij zeggen maar op de grens tussen rechts boven en onder zitten 
B: 	in het klein vak 
A: 	ja 
A: 	tussen het klein rechtsboven en onder 
A: 	denken ik 
B: 	ja ik hebben soms het idee dat wij de vak anders verdelenmaar 
A: 	ja ja dat zullen goed dat zullen ook goed kunnen 
A: 	even kijken dus als je gewoon zeggen je hebben het groot vak 
A: 	dan zijn hij dus linksboven en dan zullen hij dus zeggen maar redelijk ver naar de middenlijn liggen 
A: 	ongeveer 
B: 	je bedoelen naar rechts toe 
A: 	ja 
B: 	nee hij zitten niet niet perse heel erg naar rechts 
A: 	o ok dan zitten hij denken ik op een ander plek want die van mij staan best wel ver naar rechts 
B: 	dus als we nou dus in linksboven kijken dan zitten hij 
A: 	ja 
B: 	ik zeggen eerst rechtsonder maar bij nader inzien zijn hij toch wel iets veel naar links 
A: 	naar links 
A: 	nee die van mij staan wel echt rechts 
B: 	ok 
A: 	ok dan staan hij ergens ander 
A: 	dit zijn die met die umstaaf door zijn neus 
A: 	dat sprie naar achter en die 
B: 	en die kuif 
A: 	ja ja 
B: 	ok dat zijn voor mij A 
A: 	en die liggen rechtsonder 
A: 	en dan redelijk in het midden van dat vak eigenlijk 
A: 	er zullen er zeggen maar één onder voorkunnen en één tot anderhalf rechts daarvan 
B: 	ok ja mij liggen wel stuk hoog 
A: 	okan ja 
B: 	dus dat zijn niet 
B: 	dit zijn die doorboren neus met de kuif 
A: 	ja 
A: 	ja dat zijn nummer vijf 
B: 	en hij liggen in het vak rechtsboven en 
B: 	dan als je naar de linksonderhoek gaan 
B: 	dan moeten je iets naar rechts 
B: 	en daar staan hij 
A: 	ja die van mij liggen wel echt op de horizontaal middenlijn van de groot van het groot vak 
A: 	denken dat die van mij wat laag liggen dan die van jou 
B: 	ja het zijn op zich wel duidelijk dat hij echt rechts liggen rechtsboven 
A: 	ja nee dat 
B: 	niet rechtsonder 
A: 	neeneenee nee hij zitten echt op de middenlijn 
B: 	ok 
A: 	ja dit zijn die met die neus met zo'n ding er doorheen en die kuif achterop 
B: 	ja dat zijn voor mij H 
A: 	en die liggen eigenlijk op de middenlijn de verticaal middenlijn en dan onder kunnen er nog één onder 
A: 	ja echt echt recht op de lijn van die q van het beeldscherm 
B: 	ja bij mij ook 
B: 	ja dat zijn denken ik dezelfde plek 
A: 	ja 
B: 	dit zijn de doorbooren neus met een kuifje 
A: 	ja dat zijn nummer vijftien 
B: 	en hij liggen rechtsboven en dan redelijk in het midden 
B: 	rechts van hem toepassen er nog twee denken ik en boven hem nog één 
A: 	o nee er toepassen rechts passen er nog vier bij mij 
B: 	ok 
