A: 	er zitten best wel een groot staaf doorheen met twee rond vlak aan de uiteinde 
B: 	dit zijn het kop waar die balk achterlangs gaan met die twee knobbel eraan 
A: 	ah die 
A: 	even kijken waar zien ik die 
A: 	dat zijn drie 
B: 	hij zitten aan de linkerkant van het scherm 
A: 	ja 
B: 	helemaal onderin 
B: 	nou niet helemaal onderin hij zullen heel iets naar boven kunnen 
A: 	net niet 
B: 	net niet onderin 
B: 	maar hij past er zelf ook niet veel onder ook niet half maar ze ze zijn laag zijn 
A: 	ze zijn laag zijn 
B: 	ja 
B: 	en dan wat veel richting het midden maar hij past nog wel één keer tussen of zo 
A: 	naar links 
B: 	naar het scherm zullen die misschien wel anderhalf à twee keer kunnen 
A: 	anderhalf à twee keer 
B: 	en naar het midden kunnen die nog één keer 
A: 	naar het midden 
B: 	hij kunnen nog één keer naar het midden van het scherm 
A: 	van het scherm 
B: 	en hij zullen nog anderhalf à twee keer naar de buitenkant kunnen 
A: 	oké 
A: 	en naar beneden één keer niet eens 
B: 	nee niet eens één keer 
B: 	niet eens een ja niet eens een half denken ik 
A: 	oké 
A: 	ik twijfelen heel erg 
B: 	ja ik bereken wel zeggen maar telkens gewoon ook de afstand die anders zullen dus niet per se als je kijken precies hoe groot dat kop hoe vaak past die ertussen 
A: 	ja 
B: 	maar wel gewoon die normaal afstand die ertussen houden worden 
A: 	oké 
A: 	ja want ik denken dat die er op zich wel één keer naar beneden zullen kunnen 
A: 	ik denken als die het scherm net raken 
A: 	op zich 
A: 	want hij zijn hij kunnen laag toch 
A: 	bij jou ook 
B: 	ja hij kunnen wel laag ja 
A: 	en hij kunnen twee keer naar links 
A: 	zeggen je 
B: 	ja 
A: 	nou oké 
A: 	oké 
B: 	maar het gaan wel om de positie van hetgene wat wij moeten omschrijven en niet per se dat alles eromheen 
A: 	het mokje zelf 
A: 	eromheen ja oké 
A: 	maar hij staan bij mij staan die niet goed horen 
B: 	oké 
A: 	en ander anders zijn het fout nou ja ja gewoon de balk die erdoorheen gaan met de twee knop bollet eraan 
B: 	ja 
B: 	oké dat zijn L 
A: 	ja 
A: 	en hij staan tegen de middellijn aan en hij staan 
A: 	vlak naast het mokje met de cilinder eronder die de driehoek ontmoeten op de op de vloer hebben ik zo 
A: 	nou ja cilinder weten ik niet of het een cilinder zijn 
B: 	ja 
B: 	die spiraal bedoelen je 
A: 	ja die spiraal die dan de driehoek 
B: 	nee daar zitten die bij mij helemaal niet in de buurt 
A: 	nee helemaal niet in de buurt 
B: 	nee hij zitten wel hij zitten bij mij rechtsonder 
A: 	ja 
B: 	hij kunnen twee keer twee keer past die eronder 
B: 	en hij past ook ongeveer twee keer naar rechts 
A: 	nee bij mij zijn dat helemaal niet goed 
B: 	oké 
B: 	dit zijn die met de staaf erdoor met de twee knobbel 
A: 	ja 
A: 	oké even kijken hoor 
B: 	we zijn best goed aan het worden denken ik 
A: 	nou eindelijk hoelang duren het nu al 
A: 	ja dat zijn vijf 
B: 	we kunnen alles in ieder geval snel omschrijven nu 
A: 	ja 
B: 	en hij zitten in het midden van het scherm 
A: 	ja 
B: 	en maar wel wat laag 
B: 	hij past er zelf ongeveer één anderhalf keer onder 
A: 	ja 
B: 	en rechts daaronder zitten die met de paddenstoel 
A: 	ja dat kloppen 
