B: 	ik noemen het de serveerster of de serveerder 
B: 	ja bij mij liggen die dan echt wel op de lijn zeggen maar in het midden dus ik denken dat die wel vrijwel in het op hetzelfde liggen dan 
A: 	ja 
B: 	bij mij kunnen er één aan de ander kant 
A: 	ja één aan de een kant één aan de ander 
B: 	als je de lijn tussen de E en de N van BenQ zeggen maar omhoogzetten 
A: 	ja 
B: 	en dan hebben je de rechterkant verdeeln je dan weer 
B: 	dan vallen die wel volledig aan de rechterkant denken ik 
B: 	ja 
A: 	ja ja maar ik denken dat die zelfde plek staan 
B: 	ja ? oké 
B: 	zelfde plek dus geel 
B: 	mijn serveerster 
A: 	even kijken welk zijn dat ook al eens weer 
A: 	zijn dat met dat plank en dat met die met die 
B: 	met het bak zeggen maar ja met die twee uitstulpsel daaronder 
A: 	ja ja 
A: 	dat zijn Numero veertien 
B: 	met zo'n heel klein 
A: 	ja 
A: 	Numero veertien 
B: 	bij mij staan die helemaal onderaan 
A: 	ja 
B: 	hij raken bijna al letter raken die aan er kunnen niks veel onder 
A: 	nee 
A: 	hij maar dat maar dat doen hij vooral bij dat plank bij mij bij die uitstulping van het plank 
B: 	ja het plank dat die raken al letter 
A: 	ja 
A: 	oké dan staan die op dezelfde plek 
A: 	jou serveerster 
B: 	dat zijn letter N tweepoot N 
A: 	hij staan bij mij aan de linkerkant 
A: 	in het ja in het midden eigenlijk in het midden van het scherm ook eigenlijk de de het midden van de linkerkant 
A: 	en er kunnen er zitten er bij mij nog één boven 
A: 	en twee onder 
B: 	ja bij mij ook 
A: 	oké ik denken dat die op dezelfde plek staan 
B: 	ja de pin ongeveer de rood pin 
A: 	ja die pin die pin steken erin 
B: 	ja die vallen tegelijkertijd met het tafel zeggen maar waar het bak op staan 
A: 	ja 
A: 	ja zoiets 
B: 	dan staan die op dezelfde plek 
B: 	dit zijn mijn serveerster 
A: 	dat zijn Numero tien 
B: 	als jij B E N 
A: 	Q naar boven trekken dan raak je hem helemaal 
B: 	ja 
A: 	tenminste dat hebben ik wel 
B: 	Q Q raken die net niet denken ik 
A: 	bij mij juist Q 
B: 	ja Q raken ja raken Q raken die wel 
B: 	maar hij neigen veel naar aan de linkerkant te staan dan aan de rechterkant 
B: 	zeggen maar dus er zitten veel 
A: 	nee bij mij zijn die andersom 
B: 	bij mij zijn er veel figuur aan de linkerkant dan aan de 
A: 	en 
A: 	en staan die helemaal bovenin 
B: 	ja maar er kunnen er nog wel één boven 
A: 	nee dat hebben ik niet dus dan staan die niet op dezelfde plek 
B: 	oké 
A: 	jou jou serveerder jou jou dienblad 
B: 	ja dat gaan om D 
A: 	mij staan die rechts 
B: 	ja 
A: 	en al vrij bovenin 
B: 	ja 
A: 	helemaal in helemaal aan de rechterkant 
B: 	ja 
A: 	vrij bovenin 
B: 	ja 
A: 	kunnen er geen veel aan de rechterkant naast 
B: 	nee 
A: 	wel één boven staan er bij mij nog 
B: 	bij mij helemaal niet 
B: 	bij mij kunnen er niks veel bovenin zitten 
A: 	oké dan zijn het niet dezelfde plek 
