B: 	oké ik hebben het vierkantje 
B: 	ja 
B: 	je hebben er daar nog één van en die lijken er heel erg op maar die kijken de ander kant op toch 
B: 	je hebben twee die een beetje op hetzelfde lijken 
B: 	de Pinokkio's 
B: 	één met arm en één zonder arm 
B: 	oké dan 
A: 	nou ja in ieder geval ik denken dat die in in ieder geval met één zo'n kegel een één 
B: 	eruit 
A: 	ja één kegel eruit een rond 
B: 	ja 
A: 	zitten erin 
B: 	aan de zijkant aan de achterkant hè ? ja 
A: 	aan aan de zijkant aan achterkant ja 
B: 	dan misgaan het om O 
A: 	bij mij staan die vrij in het midden 
A: 	en dan net iets aan de rechterkant 
B: 	bij mij ook 
A: 	en daarboven kunnen er nog één 
B: 	ja 
A: 	en onder denken ook nog wel twee of drie 
B: 	bij mij kunnen er onder anderhalf en boven kunnen er nog wel drie 
A: 	nou twee 
A: 	dan staan die denken ik niet op dezelfde plek 
B: 	want hij staan wel heel erg rechts in het midden maar ik denken dat die bij mij wat laag staan dan 
A: 	ja 
B: 	ja 
B: 	dus hij staat niet op dezelfde plek dus rood 
B: 	nou dit zijn het jou normaal theekopje 
A: 	mijn normaal theekopje 
A: 	met dat blok eronder 
B: 	met blok eronder en een rond aan de 
A: 	en die neus die Pinokkio 
B: 	ja precies en dan één zo'n klein roerstaafje er 
A: 	dat zijn 
A: 	dat zijn Numero acht 
B: 	bij mij staan die echt best wel rechts bovenin er zullen er een niks kunnen er veel boven 
A: 	ja 
A: 	nee mij ook niet 
B: 	rechts zullen een heel klein kunnen passen met heel weinig dinget zeggen maar 
A: 	wan één klein kunnen 
A: 	ja 
B: 	en hij staan bij mij vrijwel alleen maar dat hoeven bij jou niet zo te zijn 
A: 	ja maar staan die rechts bovenin ? hij staan bij mij zijn er boven nog wel ruimte dus niet helemaal echt aan de aan de nok 
B: 	rechts bovenin ja 
B: 	bij mij kunnen er echt niks boven 
A: 	er kunnen niks veel boven maar er zitten nog wel ruimte bij mij tussen 
B: 	ja maar dat zijn ongeveer zo'n stuk op het beelscherm bij mij zijn dat zo 
A: 	ja 
A: 	en naast van mij zullen er nog één kunnen 
B: 	naast bij mij zijn ongeveer zoveel ruimte nog 
A: 	maar dat 
A: 	oké ik denken dat we op dezelfde plek staan 
B: 	ja 
A: 	ja 
A: 	tenminste ik gok erop 
A: 	eigenlijk mijn normaal theekopje 
B: 	dat zijn dan nummer C 
A: 	hij staan bij mij aan de rechterkant 
B: 	ja 
A: 	en dan ja eigenlijk het midden van het midden van de rechterkant 
B: 	bij mij niet bij mij kunnen er nog een half net boven staan als je de Q 
A: 	bij mij kunnen er bij mij kunnen er boven geen veel 
A: 	boven mijn theekopje kunnen er geen en beneden nog drie 
B: 	bij mij als je de Q omhoogtrekken 
A: 	ja 
B: 	de lijn dan 
A: 	raken je hem dan 
B: 	nee dan raak je hem niet maar hij zijn wel de eerstvolgen die hem zeggen maar zullen aanraken dan 
A: 	nee bij mij ja 
B: 	en er kunnen bij mij zitten ongeveer twee drie vingerlengte 
A: 	bij mij staan dan 
A: 	bij mij 
A: 	mij kunnen aan de rechterkant nog twee 
A: 	en boven geen veel 
A: 	van het kop 
B: 	ja bij mij zullen er niet een heel dinge erbij kunnen maar er zullen nog wel een soort van stuk dus een half zullen er nog tussen kunnen 
A: 	ja 
A: 	ja dat zijn bij mij ook dan wel weer zo 
B: 	er kunnen ongeveer drie vingerlengte kunnen er nog boven 
A: 	ja dat hebben ik ook wel weer 
B: 	twee drie 
B: 	en aan de 
A: 	ja maar als ik als ik de Q naar boven trek dan hebben ik nog een figuur wat er wat er wat er wat raken worden 
B: 	ja ik ook horen ik hebben er ook nog wel veel die dan raken maar 
A: 	ja ik vinden deze moeilijk er ik zullen zeggen het midden van het midden en dan helemaal bovenin 
B: 	hij staat niet in het midden van het midden 
A: 	dan denken ik dat die niet op dezelfde plek staan 
B: 	bij 
B: 	nee 
A: 	nou ik durven het niet te deze durfen ik niet met zekerheid te zeggen 
B: 	als je de pin naar rechts toe trekken helemaal horizontaal 
A: 	ja 
B: 	dan 
A: 	raken je hem bij mij niet 
B: 	nee bij mij ook zeker niet 
B: 	bij mij kunnen aan de rechterkant kunnen er wel drie als je ze goed neerzeten kunnen er drie niet de groot drie maar kunnen er drie kop 
A: 	nee dan bij mij echt maar twee denken ik 
A: 	ja bij mij maar twee 
A: 	dus denken niet dat die op dezelfde plek staan 
B: 	nee 
B: 	dit zijn het normaal theekopje 
A: 	normaal theekopje zijn Numero zeven 
B: 	linkerkant 
A: 	ja in de hoek 
B: 	hij staat zeker bij mij niet in de hoek er kunnen niks veel erond maar aan de linkerkant kunnen er nog anderhalf twee kunnen er wel naast 
A: 	oké nee staan die niet op dezelfde plek 
A: 	het normaal theekopje 
B: 	worden C 
A: 	hij staan bij mij aan de rechterkant 
A: 	helemaal bovenin 
A: 	kunnen niks veel boven 
B: 	bij mij staan er sowieso nog één boven 
A: 	oké dan staan die niet op dezelfde plek 
